loja,nome do modelo,valor
Amazon,Smartphone Moto G54 5G 256GB 8GB RAM Azul - Vegan Leather,1011
Mercado Livre,Smartphone Motorola Moto G54 5G 256 GB verde 8 GB RAM,1028
